id,Faixa Etária,Gênero,Cor,Área de Residência,Tipo de Escola no Ensino Médio,Trabalha,Renda Individual,Escolaridade dos Cuidadores,Renda Familiar Total,Área Conhecimento,Período,responsaveis_custear_estudos,Bolsa ProUni,Foi bom aluno no E.M,Incentivo para Universidade,Influência externa na decisão,Contato com graduados,Capital cultural,Satisfação com a escolha do curso,Satisfação com o desempenho,Percepção de satisfação dos professores,Participação em atividades extracurriculares,Relações positivas na universidade,Organização do tempo,Outras responsabilidades não interferem nos estudos,Ambiente adequado em casa,Teve expansão cultural,Tem suporte dos amigos,Percebe suporte da Universidade,Mal-estar na Universidade,Prejuízos por desafios extraacadêmicos,Frequentemente deseja trancar o curso,Expectativas alcançadas,Faixa Etária_numerico,Gênero_numerico,Cor_numerico,Área de Residência_numerico,Tipo de Escola no Ensino Médio_numerico,Trabalha_numerico,Renda Individual_numerico,Escolaridade dos Cuidadores_numerico,Renda Familiar Total_numerico,Área Conhecimento_numerico,Período_numerico,responsaveis_custear_estudos_numerico,Bolsa ProUni_numerico,Foi bom aluno no E.M_numerico,Incentivo para Universidade_numerico,Influência externa na decisão_numerico,Contato com graduados_numerico,Capital cultural_numerico,Satisfação com a escolha do curso_numerico,Satisfação com o desempenho_numerico,Percepção de satisfação dos professores_numerico,Participação em atividades extracurriculares_numerico,Relações positivas na universidade_numerico,Organização do tempo_numerico,Outras responsabilidades não interferem nos estudos_numerico,Ambiente adequado em casa_numerico,Teve expansão cultural_numerico,Tem suporte dos amigos_numerico,Percebe suporte da Universidade_numerico,Mal-estar na Universidade_numerico,Prejuízos por desafios extraacadêmicos_numerico,Frequentemente deseja trancar o curso_numerico,Expectativas alcançadas_numerico
1,entre 18 e 29 anos.,Homem cisgênero.,Branca.,Zona urbana central.,Escola pública.,"Sim, regularmente, em período parcial.",Menos que 1 salário mínimo,Ensino Fundamental Incompleto,Até 3 salários mínimos,Ciências Humanas,10° Período,Tenho bolsa de estudos integral pelo PROUNI.,Sim,Discordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Não concordo nem discordo,Concordo,Concordo,Não concordo nem discordo,Discordo,Concordo,Discordo,Concordo,Não concordo nem discordo,Discordo,Discordo,Discordo,Concordo,4,4,5,3,1,1,2,9,7,5,12,5,1,1,3,1,3,3,3,3,2,3,3,2,1,3,1,3,2,1,1,1,3
2,entre 18 e 29 anos.,Mulher cisgênero.,Branca.,Zona urbana periférica.,Escola particular sem bolsa de estudos.,Não trabalho nem exerço atividade remunerada.,Sem renda ou preferiu não informar,Graduação completa.,De 4 a 6 salários mínimos,Ciências Humanas,10° Período,Meus estudos são custeados integralmente por outra(s) pessoa(s).,Não,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Não concordo nem discordo,Concordo,Concordo,Concordo,Concordo,4,3,5,2,4,4,1,5,5,5,12,25,2,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,2,3,3,3,3
3,entre 40 e 49 anos.,Mulher cisgênero.,Indígena.,Zona urbana periférica.,Escola pública.,Não trabalho nem exerço atividade remunerada.,Menos que 1 salário mínimo,Ensino Fundamental completo.,Menos que 1 salário mínimo,Ciências Humanas,10° Período,Tenho bolsa de estudos integral pelo PROUNI.,Sim,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Discordo,Não concordo nem discordo,Discordo,Discordo,Discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Concordo,Concordo,Concordo,Não concordo nem discordo,2,3,4,2,1,4,2,8,2,5,12,5,1,3,3,3,1,1,3,3,3,1,2,1,1,1,2,2,2,3,3,3,2
4,entre 18 e 29 anos.,Mulher cisgênero.,Branca.,Zona urbana periférica.,Escola particular com bolsa de estudos.,"Sim, regularmente, em período parcial.",Menos que 1 salário mínimo,Graduação completa.,De 4 a 6 salários mínimos,Ciências Humanas,9° Período,"Meus estudos são custeados integralmente por outra(s) pessoa(s)., Tenho bolsa de estudos parcial pelo Bolsa Social PUC Minas.",Não,Concordo,Concordo,Concordo,Concordo,Não concordo nem discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Não concordo nem discordo,Discordo,Não concordo nem discordo,Concordo,Não concordo nem discordo,Não concordo nem discordo,Concordo,Concordo,Não concordo nem discordo,Concordo,4,3,5,2,5,1,2,5,5,5,1,20,2,3,3,3,3,2,3,3,3,3,3,2,1,2,3,2,2,3,3,2,3
5,entre 30 e 39 anos.,Mulher cisgênero.,Branca.,Zona urbana periférica.,Escola particular sem bolsa de estudos.,"Sim, regularmente, em período parcial.",Menos que 1 salário mínimo,Graduação completa.,De 4 a 6 salários mínimos,Ciências Humanas,10° Período,Meus estudos são custeados integralmente por outra(s) pessoa(s).,Não,Não concordo nem discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Não concordo nem discordo,Discordo,Concordo,Não concordo nem discordo,Concordo,Discordo,Discordo,Concordo,3,3,5,2,4,1,2,5,5,5,12,25,2,2,3,3,3,3,3,3,3,3,3,3,3,2,1,3,2,3,1,1,3
6,entre 18 e 29 anos.,Mulher cisgênero.,Branca.,Zona urbana periférica.,Escola pública.,"Sim, regularmente, em período parcial.",Menos que 1 salário mínimo,Ensino Médio completo.,Até 3 salários mínimos,Ciências Humanas,10° Período,Tenho bolsa de estudos integral pelo PROUNI.,Sim,Concordo,Concordo,Concordo,Discordo,Não concordo nem discordo,Não concordo nem discordo,Concordo,Concordo,Concordo,Concordo,Não concordo nem discordo,Discordo,Concordo,Não concordo nem discordo,Concordo,Discordo,Concordo,Concordo,Discordo,Não concordo nem discordo,4,3,5,2,1,1,2,7,7,5,12,5,1,3,3,3,1,2,2,3,3,3,3,2,1,3,2,3,1,3,3,1,2
7,entre 18 e 29 anos.,Mulher cisgênero.,Parda.,Zona urbana periférica.,Escola pública.,"Sim, regularmente, em período parcial.",Até 1 salário mínimo e meio,Ensino Médio completo.,Até 3 salários mínimos,Ciências Humanas,10° Período,Tenho bolsa de estudos integral pelo PROUNI.,Sim,Concordo,Concordo,Não concordo nem discordo,Concordo,Discordo,Concordo,Discordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Discordo,Concordo,4,3,3,2,1,1,8,7,7,5,12,5,1,3,3,2,3,1,3,1,3,3,3,1,1,3,3,3,1,3,3,1,3
8,entre 18 e 29 anos.,Mulher cisgênero.,Branca.,Zona urbana central.,Escola particular com bolsa de estudos.,"Sim, regularmente, em período integral.",Menos que 1 salário mínimo,Graduação completa.,Até 1 salário mínimo e meio,Ciências Humanas,10° Período,Meus estudos são custeados integralmente por mim.,Não,Não concordo nem discordo,Concordo,Concordo,Concordo,Não concordo nem discordo,Não concordo nem discordo,Discordo,Discordo,Discordo,Não concordo nem discordo,Discordo,Discordo,Não concordo nem discordo,Concordo,Concordo,Não concordo nem discordo,Concordo,Concordo,Concordo,Discordo,4,3,5,3,5,2,2,5,8,5,12,31,2,2,3,3,3,2,2,1,1,1,2,1,1,2,3,3,2,3,3,3,1
9,entre 18 e 29 anos.,Mulher cisgênero.,Parda.,Zona urbana periférica.,Escola pública.,"Sim, regularmente, em período integral.",Até 1 salário mínimo e meio,Ensino Fundamental Incompleto,De 4 a 6 salários mínimos,Ciências Humanas,10° Período,Meus estudos são custeados parcialmente por mim.,Não,Não concordo nem discordo,Concordo,Concordo,Discordo,Discordo,Concordo,Não concordo nem discordo,Não concordo nem discordo,Discordo,Não concordo nem discordo,Discordo,Discordo,Concordo,Concordo,Concordo,Não concordo nem discordo,Concordo,Concordo,Discordo,Concordo,4,3,3,2,1,2,8,9,5,5,12,17,2,2,3,3,1,1,3,2,2,1,2,1,1,3,3,3,2,3,3,1,3
10,entre 18 e 29 anos.,Mulher cisgênero.,Branca.,Zona urbana central.,Escola particular sem bolsa de estudos.,"Sim, eventualmente.",Até 3 salários mínimos,Ensino Médio completo.,Até 3 salários mínimos,Ciências Humanas,10° Período,Meus estudos são custeados integralmente por outra(s) pessoa(s).,Não,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,4,3,5,3,4,3,7,7,7,5,12,25,2,3,3,1,1,3,3,3,3,3,3,3,1,3,3,3,3,3,1,1,3
